ID,MW
5,99.04275497
865,109.052365
2485,129.151265
2563,130.098875
3644,162.0523197
3654,144.162145
4172,134.0938159
4227,129.9573707
4228,151.939395
4384,153.959105
4393,154.039125
4600,157.146195
4602,157.146385
4603,157.157505
4666,158.057515
4673,158.130405
4948,162.067645
4955,162.125215
5160,148.1094659
5228,166.073735
5432,169.109745
5434,169.109805
5436,152.0833659
5497,169.997945
5508,170.130235
5509,170.130255
5515,170.177925
5654,172.157105
5655,172.193455
5786,174.099905
5788,174.111075
5900,175.964115
5978,177.042225
6052,178.098985
6116,179.094215
6248,181.073505
6308,182.070365
6309,182.070405
6381,183.050325
6461,162.1252507
6536,185.177525
6538,185.188765
6665,187.120485
6858,190.135215
6860,190.156555
7001,192.135745
7053,192.965915
7054,192.965965
7200,195.123185
7270,196.109755
7341,197.177555
7401,198.161625
7469,199.193165
7473,199.229445
7525,178.0737707
7670,202.046035
7677,202.120045
7785,203.949175
7863,188.1044159
7964,205.6234899
8063,208.094195
8068,208.145935
8277,211.120375
8278,211.141425
8281,211.168035
8284,211.193425
8344,212.140705
8420,213.220065
8606,216.114905
8724,196.0707307
8788,219.097435
8859,220.109775
8987,222.089265
9059,223.141525
9197,225.172515
9310,227.128325
9374,206.1151307
9435,229.132325
9438,229.167425
9501,230.115115
9789,218.0787059
9801,218.1877159
9910,220.1459559
9973,238.154555
10027,239.172805
10102,240.219825
10104,240.219945
10159,241.123005
10229,242.188035
10231,225.1725459
10286,243.183075
10293,243.219575
10408,245.162385
10418,245.235265
10470,246.146505
10476,246.193895
10477,246.194015
10478,246.219145
10626,247.6064199
10724,250.192785
10725,250.192875
10830,252.120575
10838,252.208655
10841,252.219895
10900,253.240295
10948,254.188035
10954,254.224265
11175,258.146345
11359,261.172865
11366,261.230215
11422,262.229265
11423,262.229295
11480,263.172935
11691,267.053755
11701,250.1201059
11709,267.183335
11768,268.203505
11772,268.239915
11897,270.219285
12079,273.266435
12119,252.1205807
12133,274.214065
12189,275.172965
12239,276.110765
12244,276.156875
12245,276.156905
12248,276.186545
12302,260.1561459
12359,278.085955
12363,278.151385
12375,278.224295
12494,280.239825
12562,280.6268399
12593,282.255545
12631,266.0999659
12707,302.2454497
12713,284.282545
12824,269.2352759
12884,287.245625
12887,287.245865
12987,289.261495
12988,289.261495
13034,290.172565
13039,290.224075
13086,291.162125
13203,293.199085
13206,271.2508307
13268,294.219195
13311,295.117905
13323,295.235585
13364,296.075945
13383,296.234945
13439,280.2396759
13492,298.131185
13502,298.213975
13505,298.250445
13618,300.277365
13656,301.130665
13678,301.297775
13679,301.310195
13732,302.245505
13798,304.30002
13800,303.292555
13860,304.239795
13921,288.2660459
13950,306.077535
13972,306.255355
14021,285.1630307
14023,290.1360959
14033,290.2453759
14081,308.118395
