ID,CID,Mono_Isotopic_Weight,SMILES,Formula,score,weighted_score,Targetnode,Seednode,CFM-ID_score
253,66359657,281.2718647,CCCCC(CC)COC1CC(C12CCCC2)NCC,C18H35NO,0.340425532,0.278537811,253.0,27.0,0.915
262,22637457,269.3082502,CCCCCCCCCNCCC(CC)CCCC,C18H39N,0.371428571,,,,0.912
