ID,CID,Mono_Isotopic_Weight,SMILES,Formula,CFM-ID_score
253,66359657,281.2718647,CCCCC(CC)COC1CC(C12CCCC2)NCC,C18H35NO,0.915
262,22637457,269.3082502,CCCCCCCCCNCCC(CC)CCCC,C18H39N,0.912
