ID,MW
4,194.10663
13,253.08897
16,266.16449
18,266.16449
19,290.12225
27,434.35206
40,414.20409
52,229.08898
58,229.08896
68,562.36949
70,230.08583
71,210.10191
78,278.15159
83,446.28545
89,270.1442
91,229.08894
105,312.15477
109,213.24546
116,243.10458
123,241.27676
124,210.10193
128,253.08896
131,231.10458
133,279.10462
135,243.10456
136,424.30343
139,250.14681
142,253.08893
143,188.12001
145,253.08898
148,428.23838
149,229.0889
150,413.98591
158,326.0007
159,620.4113
161,243.10459
167,330.09227
169,522.4134
171,217.08894
177,253.08894
179,253.08894
180,253.08898
182,254.08757
185,243.10456
191,486.27957
193,280.08859
194,154.03944
198,372.2122
200,222.11555
210,327.10462
212,340.25878
218,325.37072
222,230.07294
225,231.10458
229,330.16524
230,217.08895
234,222.08902
238,241.27675
240,430.25392
253,281.27161
259,253.08894
261,329.1203
262,269.30806
273,279.10453
274,253.08897
275,325.3707
280,224.18865
281,253.08891
282,253.08893
285,218.08426
288,253.08897
291,325.37071
300,253.08892
301,191.16724
307,277.08895
308,279.10458
309,305.15606
313,352.13801
319,209.08395
321,258.10422
326,416.23835
333,314.18786
337,270.07506
338,398.24345
342,276.02191
346,291.10465
347,314.22446
348,325.37074
356,477.3144
358,342.06562
361,354.10213
365,557.41388
367,277.08896
369,384.33878
378,260.13112
380,273.10311
381,405.06458
382,276.10662
384,185.2142
386,279.10461
395,259.15702
405,280.0886
412,341.06962
421,594.47111
424,232.14612
435,213.24549
436,279.10456
442,208.09988
451,504.32757
461,422.12656
464,229.0889
466,217.08921
470,384.08118
476,382.19636
487,306.11711
501,230.07295
511,254.07634
516,279.10459
518,307.14505
520,312.15862
523,201.11519
526,432.23309
530,284.1777
539,269.08387
540,233.17775
542,341.06961
544,300.15474
547,232.09984
553,301.20405
557,358.06055
560,615.45569
564,280.20371
565,190.11046
575,219.06822
578,482.34542
593,450.35554
598,217.08895
601,324.22003
605,398.12813
611,566.25297
624,206.14167
630,335.16734
631,286.13915
633,313.07469
636,199.11077
638,277.08894
640,154.03944
654,400.27952
658,258.11555
667,244.12842
680,273.10313
688,397.33422
701,274.06275
705,269.08387
710,217.0889
736,284.12345
750,241.06711
756,255.10458
757,287.16302
761,358.19664
776,314.17039
780,291.21954
781,234.06788
782,441.33004
787,215.13079
791,266.22443
793,516.26407
795,266.18803
797,191.13082
803,266.03421
805,243.10451
814,218.08423
815,303.10461
817,337.13593
822,303.10467
823,318.04621
824,303.1046
829,229.08892
831,303.10461
833,236.13111
836,224.08353
841,255.10456
842,255.10458
845,231.06817
847,303.10461
848,303.10462
853,303.10465
862,304.16855
866,303.10465
869,232.14607
873,365.21012
874,218.08424
883,516.26406
886,313.07462
894,313.97793
897,318.15373
900,191.16715
910,208.08858
917,195.06823
928,296.18872
938,248.08267
961,298.19309
962,267.17349
963,270.10025
976,499.37198
980,280.19349
981,254.11288
988,384.339
992,287.16731
1005,86.08442
1007,279.10462
1027,188.11992
1030,292.13227
1032,303.10456
1035,306.11703
1041,255.10451
1058,284.21374
1067,194.13046
1076,349.12604
1077,228.09716
1092,222.1156
1106,232.05219
1114,248.08356
1117,268.09193
1144,223.06313
1145,277.10162
1160,580.26864
1165,248.1774
1167,314.10554
1176,193.08902
1181,100.05237
1189,195.06824
1201,222.08658
1203,284.08353
1211,210.06789
1214,281.08386
1223,254.18804
1236,255.1045
1250,324.20879
1271,250.11046
1272,440.19982
1277,210.06791
1278,296.23499
1283,232.05215
1291,363.1944
1294,303.10457
1303,301.10259
1304,172.07341
1306,438.34959
1318,217.08893
1319,230.10526
1324,550.25834
1338,532.24695
1359,270.16178
1370,298.13938
1377,341.06957
1384,326.07058
1395,245.08388
1396,314.18805
1397,312.15465
1403,416.36735
1411,339.34985
1412,520.24738
1416,193.08898
1424,245.08384
1442,330.21889
1443,278.22442
1444,298.19303
1452,222.06784
1465,240.06066
1483,298.19306
1495,283.1108
1496,168.04211
1498,296.17741
1504,267.10462
1505,316.1495
1514,267.10462
1522,340.20364
1525,230.11279
1539,223.0995
1545,324.20875
1595,276.07033
1598,366.21927
1616,314.1878
